name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,79,191591687,,,parking,,"POLYGON ((-112.0585844 33.0530507, -112.0582005 33.0530507, -112.0581875 33.0530116, -112.0581736 33.0529699, -112.0581736 33.0523099, -112.058583 33.0523084, -112.0585844 33.0530507))",POINT (-112.0583794 33.0526789),3133.0,33723.2
,80,230229400,,yes,,,"POLYGON ((-112.0484999 33.0558165, -112.0480645 33.0556397, -112.0481477 33.0554957, -112.0485831 33.0556725, -112.0484999 33.0558165))",POINT (-112.0483238 33.0556561),802.3,8635.9
,81,367186734,,industrial,,,"POLYGON ((-112.047479 33.0564943, -112.0474593 33.056518, -112.0472285 33.0563834, -112.0472482 33.0563597, -112.047479 33.0564943))",POINT (-112.0473537 33.0564388),83.0,893.2
,82,232400451,,yes,,,"POLYGON ((-112.0045935 33.0580062, -112.0045193 33.0580396, -112.0042258 33.0575884, -112.0042298 33.0570467, -112.0043315 33.0570467, -112.0043318 33.057595, -112.0045749 33.0579769, -112.0045935 33.0580062))",POINT (-112.0043381 33.0575289),1024.9,11032.4
,83,334645946,,commercial,,,"POLYGON ((-111.9544639 33.2714176, -111.9544639 33.2714478, -111.9543323 33.271448, -111.9543322 33.2714178, -111.9544639 33.2714176))",POINT (-111.9543981 33.2714328),41.8,450.1
,84,450117484,,house,,,"POLYGON ((-112.043829 33.0593948, -112.0438305 33.0592902, -112.04362 33.0592881, -112.0436185 33.0593926, -112.043829 33.0593948))",POINT (-112.0437245 33.0593414),228.0,2453.8
,85,675945785,,yes,,,"POLYGON ((-112.0778695 33.0294072, -112.0778663 33.0292961, -112.0777205 33.029299, -112.077723 33.0293845, -112.0778172 33.0293826, -112.077818 33.0294083, -112.0778695 33.0294072))",POINT (-112.0777993 33.0293455),142.9,1537.8
,86,232400442,,yes,,,"POLYGON ((-111.9989579 33.0546038, -111.9986318 33.0546038, -111.9986318 33.0543769, -111.9989579 33.0543769, -111.9989579 33.0546038))",POINT (-111.9987948 33.0544904),767.1,8256.7
,87,497740189,,yes,,,"POLYGON ((-111.9834499 33.270597, -111.9833222 33.270454, -111.9832152 33.2705208, -111.9833429 33.2706638, -111.9834499 33.270597))",POINT (-111.9833325 33.2705589),247.1,2659.3
UltraStar Multi-tainment Center,88,524458337,,yes,cinema,,"POLYGON ((-112.0511963 33.0269722, -112.0510434 33.0270554, -112.0510648 33.0270914, -112.0507859 33.027233, -112.0507671 33.0272038, -112.0506196 33.027278, -112.0504399 33.0270419, -112.0504774 33.0270261, -112.0503943 33.026916, -112.0503621 33.0269317, -112.0501851 33.0267046, -112.0502106 33.026691, -112.0500939 33.0265494, -112.050169 33.0265044, -112.0501046 33.0264437, -112.0500617 33.026374, -112.0500322 33.0262773, -112.0500322 33.0262008, -112.0501019 33.0262031, -112.0501065 33.0257006, -112.0502938 33.0256995, -112.05029 33.0256555, -112.0508458 33.0256588, -112.0508363 33.0261839, -112.0506885 33.026268, -112.0508809 33.0265349, -112.0508507 33.0265477, -112.0509319 33.0266551, -112.0508951 33.0266771, -112.0509684 33.0267922, -112.0510386 33.0267535, -112.0511963 33.0269722))",POINT (-112.0505468 33.0264185),11331.5,121971.3
